en_tokenized,fr_tokenized
['carabin'],"['les', 'carabins']"
"['in', 'process', 'citation']","['finis', 'coronat', 'opus']"
"['a', 'very', 'abnormal', 'pet-ct']","['un', 'tep-scan', 'très', 'anormal']"
"['biosimilar', 'drugs', 'in', 'oncology']","['médicaments', 'biosimilaires', 'en', 'oncologie']"
"['the', 'place', 'of', 'inhaled', 'corticosteroids', 'in', 'copd']","['place', 'des', 'corticostéroïdes', 'inhalés', 'dans', 'la', 'bpco']"
"['a', 'point', 'on', 'a', 'new', 'year']","['bilan', ""d'une"", 'nouvelle', 'année']"
"['metastatic', 'bronchial', 'carcinoid', 'tumors']","['les', 'carcinoïdes', 'bronchiques', 'métastatiques']"
"['pulmonology', 'in', 'lyon', 'today']","['la', 'pneumologie', 'à', 'lyon', ""aujourd'hui""]"
"['crohn', ""'s"", 'disease', ':', 'vulvar', 'edema', 'and', 'swelling']","['maladie', 'de', 'crohn', ':', 'œdème', 'et', 'tuméfaction', 'vulvaires']"
['editorial'],"['la', 'pénurie', 'de', 'sérums', 'antivenimeux']"
"['takayasu', 'arteritis']","['la', 'maladie', 'de', 'takayasu']"
['aortitis'],"['les', 'aortites']"
"['bk', 'virus', 'infections', 'in', 'kidney', 'transplantation']","['infections', 'à', 'bk', 'virus', 'en', 'transplantation', 'rénale']"
"['primitive', 'sternoclavicular', 'septic', 'arthritis']","['arthrite', 'septique', 'sternoclaviculaire', 'primitive']"
"['unilateral', 'intravitreal', 'cysts', '-', 'two', 'rare', 'cases']","['kystes', 'intravitréens', 'monolatéraux', '-', 'deux', 'cas', 'rares']"
"['non-traumatic', 'vitreous', 'hemorrhage']","['hémorragies', 'du', 'vitré', 'non', 'traumatiques']"
"['asbestos', 'and', 'respiratory', 'diseases']","['amiante', 'et', 'pathologie', 'respiratoire']"
"['a', 'sublingual', 'tumefaction', 'in', 'an', 'infant']","['une', 'tuméfaction', 'sublinguale', 'chez', 'un', 'nourrisson']"
"['plunging', 'ranula', '.', 'review']","['ranulas', 'à', 'expression', 'cervicale', '.', 'mise', 'au', 'point']"
"['in', 'process', 'citation']","['9/20', 'la', 'douleur', 'aiguë', 'chez', 'la', 'personne', 'âgée']"
"['in', 'process', 'citation']","['19/19', 'chutes', ',', 'bilan', 'et', 'devenir']"
"['anorexia', 'and', 'refusal', 'to', 'eat', 'in', 'the', 'elderly']","['anorexie', 'et', 'refus', 'alimentaire', 'du', 'sujet', 'âgé']"
"['peritoneal', 'dialysis', 'today', 'and', 'tomorrow']","['la', 'dialyse', 'péritonéale', ""aujourd'hui"", 'et', 'demain']"
"['in', 'process', 'citation']","['la', 'dialyse', ',', 'un', 'accompagnement', 'au', 'quotidien']"
"['cutaneous', 'manifestations', 'of', 'sarcoidosis']","['manifestations', 'cutanées', 'de', 'la', 'sarcoïdose']"
['editorial'],['éditorial']
"['in', 'process', 'citation']","['tonsillolithen', 'auf', 'dem', 'orthopantomogramm']"
"['psychiatry', 'in', 'elderly', 'prisoners']","['psychiatrie', 'du', 'sujet', 'âgé', 'en', 'milieu', 'pénitentiaire']"
"['malaise', 'in', 'psychiatry', 'and', 'its', 'history']","['le', 'malaise', 'dans', 'la', 'psychiatrie', 'et', 'son', 'histoire']"
"['gastroduodenal', 'and', 'small', 'intestine', 'trichobezoar']","['trichobézoard', 'gastroduodénal', 'et', 'grêlique']"
"['longitudinal', 'melanonychia']","['mélanonychies', 'longitudinales']"
"['intrapulmonary', 'bronchogenic', 'cysts']","['kystes', 'bronchogéniques', 'intrapulmonaires']"
"['what', ""'s"", 'new', 'in', 'instrumental', 'dermatology', '?']","['quoi', 'de', 'neuf', 'en', 'dermatologie', 'instrumentale', '?']"
"['what', ""'s"", 'new', 'in', 'dermatological', 'therapy', '?']","['quoi', 'de', 'neuf', 'en', 'thérapeutique', 'dermatologique', '?']"
"['what', ""'s"", 'new', 'in', 'oncodermatology', 'in', '2015', '?']","['quoi', 'de', 'neuf', 'en', 'oncodermatologie', 'en', '2015', '?']"
"['what', ""'s"", 'new', 'in', 'pediatric', 'dermatology', '?']","['quoi', 'de', 'neuf', 'en', 'dermatologie', 'pédiatrique', '?']"
"['what', ""'s"", 'new', 'in', 'internal', 'medicine', '?']","['quoi', 'de', 'neuf', 'en', 'médecine', 'interne', '?']"
"['what', ""'s"", 'new', 'in', 'clinical', 'dermatology', '?']","['quoi', 'de', 'neuf', 'en', 'dermatologie', 'clinique', '?']"
['silicotuberculosis'],"['la', 'silicotuberculose']"
"['in', 'process', 'citation']","['1/6', 'erving', 'goffman']"
"['new', 'ways', 'of', 'believing', 'in', 'globality']","['nouvelles', 'manières', 'de', 'croire', 'dans', 'la', 'mondialité']"
"['in', 'process', 'citation']","['engagements', 'adolescents']"
"['in', 'process', 'citation']","['fraternités', 'et', 'filiations', 'meurtrières']"
"['in', 'process', 'citation']","['&', 'quot', ';', 'lucide', 'folie', '&', 'quot', ';']"
"['in', 'process', 'citation']",['reponse']
