en,fr,predicted,meteor_score
site map,plan du site,carte du site,0.625
feedback,rétroaction,retour d'information,0.0
credits,crédits,Crédits ouverts,0.45454545454545453
français,english,français,0.0
what is light ?,qu’est-ce que la lumière?,Qu'est-ce que la lumière ?,0.5836397058823528
cartoon,bande dessinée,dessin animé,0.0
links,liens,liens,0.5
glossary,glossaire,glossaire,0.5
observatories,observatoires,observatoires,0.5
who are we?,où sommes-nous?,Qui sommes-nous ?,0.625
where did we come from?,d'où venons-nous?,D'où venons-nous ?,0.9814814814814815
are we alone?,sommes-nous seuls?,On est seuls ?,0.6048387096774195
astronomers timeline,astronomes ligne de temps,chronologie des astronomes,0.25641025641025644
verbatim a journey into canadian astronomy,verbatim l'aventure astronomique canadienne,un voyage dans l'astronomie canadienne,0.12195121951219512
instruments isaac newton builds his telescope.,instruments isaac newton fabrique son télescope.,les instruments isaac newton construit son télescope.,0.8294209702660407
astronomes william frederick king is born.,astronomes naissance de william frederick king.,Astronomes william frederick roi est né.,0.4508928571428571
astronomes john stanley plaskett is born.,astronomes naissance de john stanley plaskett.,astronomes john stanley plaskett est né.,0.6371428571428571
astronomes clarence augustus chant is born.,astronomes naissance de clarence augustus chant.,astronomes clarence augustus chant est né.,0.6371428571428571
astronomes carlyle smith beals is born.,astronomes naissance de carlyle smith beals.,les astronomes charlyle smith beals sont nés.,0.4445422535211268
astronomes gerhard herzberg is born.,astronomes naissance de gerhard herzberg.,astronomes gerhard herzberg est né.,0.5260416666666666
astronomes helen sawyer hogg is born.,astronomes naissance de helen sawyer hogg.,Les astronomes Helen Sawyer Hogg sont nés.,0.6281690140845071
astronomes andrew mckellar is born.,astronomes naissance de andrew mckellar.,astronomes andrew mckellar est né.,0.5260416666666666
astronomes arthur edwin covington is born.,astronomes naissance de arthur edwin covington.,astronomes arthur edwin covington est né.,0.6371428571428571
astronomes anne barbara underhill is born.,astronomes naissance de anne barbara underhill.,astronomes anne barbara underhill est né.,0.6371428571428571
astronomes sidney van den bergh is born.,astronomes naissance de sidney van den bergh.,Astronomes Sidney van den Bergh est né.,0.703125
astronomes,astronomes naissance de hubert reeves,astronomes,0.10869565217391304
astronomes rené racine is born.,astronomes naissance de rené racine.,astronomes rené racine est né.,0.5260416666666666
astronomes john barrie hutchings is born.,astronomes naissance de john barrie hutchings.,Astronomes John Barrie Hutchings est né.,0.6371428571428571
astronomes jack newton is born.,astronomes naissance de jack newton.,Astronomes Jack Newton est né.,0.5260416666666666
astronomes charles thomas bolton is born.,astronomes naissance de charles thomas bolton.,astronomes charles thomas boulon est né.,0.4508928571428571
astronomes jean-rené roy is born.,astronomes naissance de jean-rené roy.,astronomes jean-rené roy est né.,0.5260416666666666
astronomes damien lemay is born.,astronomes naissance de damien lemay.,Astronomes Damien Lemay est né.,0.5260416666666666
astronomes paul boltwood is born.,astronomes naissance de paul boltwood.,astronomes paul boulonwood est né.,0.25
astronomes peter gordon martin is born.,astronomes naissance de peter gordon martin.,astronomes peter gordon martin est né.,0.6371428571428571
astronomes gilles fontaine is born.,astronomes naissance de gilles fontaine.,astronomes gilles fontaine est né.,0.5260416666666666
astronomes david howard levy is born.,astronomes naissance de david howard levy.,Les astronomes david howard sont nés.,0.4508928571428571
astronomes john richard bond is born.,astronomes naissance de john richard bond.,Le lien astronomes john richard est né.,0.4445422535211268
astronomes scott duncan tremaine is born.,astronomes naissance de scott duncan tremaine.,astronomes scott duncan tremaine est né.,0.6371428571428571
replace by: 1953:,remplacer par: 1953:,Remplacer par : 1953 :,0.996
astronomes jaymie mark matthews is born.,astronomes naissance de jaymie mark matthews.,astronomes jaymie marque matthews est né.,0.2857142857142857
in the future :,dans le futur :,à l'avenir :,0.12820512820512822
they are: 1.,il s'agit des observatoires : 1.,ils sont: 1.,0.551470588235294
"kingston observatory in london, ontario: est.","de kingston, à london, en ontario, en 1856 2.","observatoire kingston à london, ontario: est.",0.3384038800705468
stars produce large amounts of neutrinos.,les étoiles en produisent de grandes quantités.,Les étoiles produisent de grandes quantités de neutrinos.,0.7067271352985638
work began in 1990 and was completed in 1999.,les travaux débutent en 1990 et se terminent 1999.,Le travail a commencé en 1990 et s'est achevé en 1999.,0.5010893246187365
all together the satellite weighs 250 kilograms.,"en tout, le satellite pèse 250 kilogrammes.","Tous ensemble, le satellite pèse 250 kilogrammes.",0.7766439909297052
its predicted life expectancy is 5 to 10 years.,sa durée de vie devrait être de 5 à 10 ans.,son espérance de vie prévue est de 5 à 10 ans.,0.6614583333333333
"the entire observatory will weigh 6,600 kilograms.",l'observatoire entier pèsera 6600 kilogrammes.,l'observatoire entier pèsera 6 600 kilogrammes.,0.7934426229508196
the next generation,la relève,la prochaine génération,0.2380952380952381
he passed away in ottawa in 1916 at 62 years old.,"il meurt à ottawa en 1916, à l'âge de 62 ans.",il est décédé à ottawa en 1916 à 62 ans.,0.6722608024691359
chant acted as president from 1904 to 1907.,chant en sera le président entre 1904 et 1907.,chant a été président de 1904 à 1907.,0.3757575757575758
herzberg died in ottawa in 1999 at 94 years old.,"herzberg meut à ottawa en 1999, à l'âge de 94 ans.",Herzberg est décédé à ottawa en 1999 à l'âge de 94 ans.,0.8375715193897013
